Cell_Quality	cell_count	site	plate	well	site_location	Metadata_dataset_split
Empty	797	SABER_Plate_1-Well1-78	SABER_Plate_1	Well1	78	ALLBATCHES___SABER_Plate_1___ALLWELLS
Great	591	SABER_Plate_1-Well1-78	SABER_Plate_1	Well1	78	ALLBATCHES___SABER_Plate_1___ALLWELLS
Imperfect	590	SABER_Plate_1-Well1-78	SABER_Plate_1	Well1	78	ALLBATCHES___SABER_Plate_1___ALLWELLS
Empty	4466	SABER_Plate_1-Well4-66	SABER_Plate_1	Well4	66	ALLBATCHES___SABER_Plate_1___ALLWELLS
Perfect	4066	SABER_Plate_1-Well4-66	SABER_Plate_1	Well4	66	ALLBATCHES___SABER_Plate_1___ALLWELLS
Bad	4049	SABER_Plate_1-Well4-66	SABER_Plate_1	Well4	66	ALLBATCHES___SABER_Plate_1___ALLWELLS
Great	1637	SABER_Plate_1-Well4-66	SABER_Plate_1	Well4	66	ALLBATCHES___SABER_Plate_1___ALLWELLS
Imperfect	1103	SABER_Plate_1-Well4-66	SABER_Plate_1	Well4	66	ALLBATCHES___SABER_Plate_1___ALLWELLS
Perfect	4237	SABER_Plate_1-Well5-38	SABER_Plate_1	Well5	38	ALLBATCHES___SABER_Plate_1___ALLWELLS
Bad	3095	SABER_Plate_1-Well5-38	SABER_Plate_1	Well5	38	ALLBATCHES___SABER_Plate_1___ALLWELLS
Empty	1503	SABER_Plate_1-Well5-38	SABER_Plate_1	Well5	38	ALLBATCHES___SABER_Plate_1___ALLWELLS
Great	854	SABER_Plate_1-Well5-38	SABER_Plate_1	Well5	38	ALLBATCHES___SABER_Plate_1___ALLWELLS
Imperfect	853	SABER_Plate_1-Well5-38	SABER_Plate_1	Well5	38	ALLBATCHES___SABER_Plate_1___ALLWELLS
Bad	2628	SABER_Plate_1-Well3-94	SABER_Plate_1	Well3	94	ALLBATCHES___SABER_Plate_1___ALLWELLS
Perfect	2433	SABER_Plate_1-Well3-94	SABER_Plate_1	Well3	94	ALLBATCHES___SABER_Plate_1___ALLWELLS
Empty	1868	SABER_Plate_1-Well3-94	SABER_Plate_1	Well3	94	ALLBATCHES___SABER_Plate_1___ALLWELLS
Great	986	SABER_Plate_1-Well3-94	SABER_Plate_1	Well3	94	ALLBATCHES___SABER_Plate_1___ALLWELLS
Imperfect	890	SABER_Plate_1-Well3-94	SABER_Plate_1	Well3	94	ALLBATCHES___SABER_Plate_1___ALLWELLS
Bad	3719	SABER_Plate_1-Well6-64	SABER_Plate_1	Well6	64	ALLBATCHES___SABER_Plate_1___ALLWELLS
Perfect	3429	SABER_Plate_1-Well6-64	SABER_Plate_1	Well6	64	ALLBATCHES___SABER_Plate_1___ALLWELLS
Empty	2006	SABER_Plate_1-Well6-64	SABER_Plate_1	Well6	64	ALLBATCHES___SABER_Plate_1___ALLWELLS
Imperfect	1426	SABER_Plate_1-Well6-64	SABER_Plate_1	Well6	64	ALLBATCHES___SABER_Plate_1___ALLWELLS
Great	1237	SABER_Plate_1-Well6-64	SABER_Plate_1	Well6	64	ALLBATCHES___SABER_Plate_1___ALLWELLS
Perfect	3450	SABER_Plate_1-Well4-48	SABER_Plate_1	Well4	48	ALLBATCHES___SABER_Plate_1___ALLWELLS
Bad	2333	SABER_Plate_1-Well4-48	SABER_Plate_1	Well4	48	ALLBATCHES___SABER_Plate_1___ALLWELLS
Empty	813	SABER_Plate_1-Well4-48	SABER_Plate_1	Well4	48	ALLBATCHES___SABER_Plate_1___ALLWELLS
Imperfect	588	SABER_Plate_1-Well4-48	SABER_Plate_1	Well4	48	ALLBATCHES___SABER_Plate_1___ALLWELLS
Great	577	SABER_Plate_1-Well4-48	SABER_Plate_1	Well4	48	ALLBATCHES___SABER_Plate_1___ALLWELLS
Perfect	4148	SABER_Plate_1-Well3-76	SABER_Plate_1	Well3	76	ALLBATCHES___SABER_Plate_1___ALLWELLS
